ID,Major group,Family,Genus hybrid marker,Genus,Species hybrid marker,Species,Infraspecific rank,Infraspecific epithet,Authorship,Taxonomic status in TPL,Nomenclatural status from original data source,Confidence level,Source,Source id,IPNI id,Publication,Collation,Page,Date,Accepted ID
kew-129631,A,Araceae,,Monstera,,"membranacea",,"","Madison",Accepted,,H,WCSP,129631,163941-2,"Contr. Gray Herb.","207: 55","","1977",
tro-50306496,A,Araceae,,Monstera,,"mendietae",,"","Croat",Unresolved,,L,TRO,50306496,,"","","","",
kew-129632,A,Araceae,,Monstera,,"microstachys",,"","Schott",Synonym,,H,WCSP,129632,87519-1,"Oesterr. Bot. Wochenbl.","5: 274","","1855",kew-129639
kew-129633,A,Araceae,,Monstera,,"milleriana",,"","Schott",Synonym,,H,WCSP,129633,87520-1,"Oesterr. Bot. Z.","8: 386","","1858",kew-129572
kew-129634,A,Araceae,,Monstera,,"minima",,"","Madison",Accepted,,H,WCSP,129634,163942-2,"Contr. Gray Herb.","207: 72","","1977",
kew-129635,A,Araceae,,Monstera,,"modesta",,"","Schott",Synonym,,H,WCSP,129635,87522-1,"Gen. Aroid.","75","","1858",kew-129571
kew-129636,A,Araceae,,Monstera,,"molinae",,"","Croat & Grayum",Accepted,,H,WCSP,129636,315163-2,"Phytologia","82: 48","","1997",
kew-129637,A,Araceae,,Monstera,,"moritziana",,"","(Schott) Steyerm.",Synonym,,H,WCSP,129637,163944-2,"Fieldiana, Bot.","28: 819","","1957",kew-178217
kew-129638,A,Araceae,,Monstera,,"multijuga",,"","K.Koch ex Ender",Synonym,Invalid,H,WCSP,129638,87524-1,"Index Aroid.","75","","1864",kew-177736
kew-129639,A,Araceae,,Monstera,,"obliqua",,"","Miq.",Accepted,,H,WCSP,129639,87525-1,"Linnaea","18: 79","","1845",
kew-129640,A,Araceae,,Monstera,,"obliqua",var.,"expilata","(Schott) Engl.",Synonym,,L,WCSP,129640,,"Fl. Bras.","3(2): 113","","1878",kew-129639
kew-129641,A,Araceae,,Monstera,,"oblongifolia",,"","Schott",Synonym,,H,WCSP,129641,87526-1,"Prodr. Syst. Aroid.","369","","1860",kew-129571
kew-129642,A,Araceae,,Monstera,,"occidentalis",,"","(Poepp.) K.Koch ex Ender",Synonym,,H,WCSP,129642,87527-1,"Index Aroid.","4","","1864",kew-6221
kew-129643,A,Araceae,,Monstera,,"officinalis",,"","(Roxb.) Schott",Synonym,,H,WCSP,129643,87528-1,"Wiener Z. Kunst","4: 1028","","1830",kew-188567
kew-129644,A,Araceae,,Monstera,,"oreophila",,"","Madison",Accepted,,H,WCSP,129644,163946-2,"Contr. Gray Herb.","207: 54","","1977",
kew-129645,A,Araceae,,Monstera,,"ovata",,"","(Miq.) Schott",Synonym,,H,WCSP,129645,87530-1,"Oesterr. Bot. Z.","8: 387","","1858",kew-129572
kew-129646,A,Araceae,,Monstera,,"parkeriana",,"","Schott",Synonym,,H,WCSP,129646,87531-1,"Oesterr. Bot. Z.","9: 41","","1859",kew-129571
kew-129647,A,Araceae,,Monstera,,"peckoltii",,"","K.Krause",Synonym,,H,WCSP,129647,163947-2,"Bot. Jahrb. Syst.","54(118): 124","","1916",kew-129571
kew-129648,A,Araceae,,Monstera,,"peepla",,"","(Roxb.) Schott",Synonym,,H,WCSP,129648,87533-1,"Wiener Z. Kunst","4: 1028","","1830",kew-177842
kew-129649,A,Araceae,,Monstera,,"pertusa",,"","(Roxb.) Schott",Synonym,,H,WCSP,129649,30003153-2,"Wiener Z. Kunst","4: 1028","","1830",kew-177846
kew-129650,A,Araceae,,Monstera,,"pertusa",,"","(L.) de Vriese",Synonym,Illegitimate,H,WCSP,129650,60442449-2,"Hort. Spaarn-Berg.","40","","1839",kew-129569
kew-129651,A,Araceae,,Monstera,,"pertusa",var.,"jacquinii","(Schott) Engl.",Synonym,,L,WCSP,129651,,"Fl. Bras.","3(2): 113","","1878",kew-129570
kew-335541,A,Araceae,,Monstera,,"pertusa",f.,"jacquinii","(Schott) Voss",Synonym,,L,WCSP,335541,,"Vilm. Blumengärtn. ed. 3","1: 1178","","1895",kew-129570
